term,estimate,std_error,t_value,p_value,quintile
home_(Intercept),-0.004856394755018518,0.34378473081051275,-0.014126266584234265,0.988770011009841,Lowest 20 percent income quintile
home_lnp_home,0.053035052714193696,0.0804634315744772,0.6591199464952509,0.5120124977092559,Lowest 20 percent income quintile
home_lnp_away,0.03265067203314653,0.062412939915352336,0.5231394655888517,0.6025531960718529,Lowest 20 percent income quintile
home_lnp_shelter,-0.04599456721273859,0.04939547147561946,-0.9311494725875938,0.35502283183778083,Lowest 20 percent income quintile
home_lnXP,0.01197712765502422,0.035526401522658936,0.33713315004293753,0.737039891116277,Lowest 20 percent income quintile
home_trend,-3.415854142496198e-4,3.817045736224611e-4,-0.8948947375922127,0.37395450607463143,Lowest 20 percent income quintile
away_(Intercept),0.012808760167132302,0.31360484162358115,0.04084363015832075,0.9675385109917825,Lowest 20 percent income quintile
away_lnp_home,0.03265067203311738,0.06241293991534826,0.5231394655884188,0.6025531960721524,Lowest 20 percent income quintile
away_lnp_away,-0.06335685705671815,0.07975728227099915,-0.7943708117014862,0.4297033179608809,Lowest 20 percent income quintile
away_lnp_shelter,0.04468110649088029,0.053265473617666335,0.8388380588070299,0.40445692716550963,Lowest 20 percent income quintile
away_lnXP,0.004171799981851875,0.03236219553796666,0.12890967106844176,0.8978041446638554,Lowest 20 percent income quintile
away_trend,-1.1096263844108408e-4,4.3010406796561686e-4,-0.25799020912760723,0.79718239909801,Lowest 20 percent income quintile
shelter_(Intercept),1.851383945873114,0.6141393357931727,3.0145991926767177,0.003598243721340433,Lowest 20 percent income quintile
shelter_lnp_home,-0.045994567212735156,0.049395471475619505,-0.9311494725875233,0.3550228318378168,Lowest 20 percent income quintile
shelter_lnp_away,0.04468110649089352,0.05326547361766619,0.8388380588072805,0.40445692716536996,Lowest 20 percent income quintile
shelter_lnp_shelter,-0.005070143135767897,0.08696300035405848,-0.05830230230242141,0.9536763526502281,Lowest 20 percent income quintile
shelter_lnXP,-0.1534006254357283,0.06357596891419703,-2.4128712162100086,0.018488641883157797,Lowest 20 percent income quintile
shelter_trend,0.0022253109356147878,5.114981965583745e-4,4.350574353121546,4.596391456557214e-5,Lowest 20 percent income quintile
home_(Intercept),0.09875518206317141,0.33591438985232347,0.2939891384426452,0.7696487568708328,Second 20 percent income quintile
home_lnp_home,0.02375833007737471,0.06085100589622182,0.3904344673922611,0.6974180986490843,Second 20 percent income quintile
home_lnp_away,0.10287081963899582,0.04301647825948546,2.3914282107999396,0.0195140148708286,Second 20 percent income quintile
home_lnp_shelter,-0.05020125102908631,0.039863687753362256,-1.2593228037426654,0.212157214366397,Second 20 percent income quintile
home_lnXP,3.7063792406223265e-4,0.03341278681816432,0.011092697118599558,0.9911815002843416,Second 20 percent income quintile
home_trend,-0.0010820232292344137,2.808809731115861e-4,-3.852248221899161,2.589964945700629e-4,Second 20 percent income quintile
away_(Intercept),-0.4844785602298326,0.25972283964652076,-1.865367562164349,0.06638192069942939,Second 20 percent income quintile
away_lnp_home,0.10287081963936276,0.043016478259478484,2.391428210808858,0.019514014870391616,Second 20 percent income quintile
away_lnp_away,-0.13343014764143454,0.05090973841660742,-2.6209159935087762,0.010778391570267498,Second 20 percent income quintile
away_lnp_shelter,0.0637969049311647,0.0376221656275254,1.695726544898552,0.09444580301742933,Second 20 percent income quintile
away_lnXP,0.05313941816531317,0.025815785112554834,2.0584079830859063,0.04332941162445092,Second 20 percent income quintile
away_trend,1.7884943272694127e-4,0.00028186473033733553,0.6345222139460102,0.5278383652861214,Second 20 percent income quintile
shelter_(Intercept),2.746425953224797,0.6064637885366999,4.5285901732921,2.417268896759417e-5,Second 20 percent income quintile
shelter_lnp_home,-0.050201251029228955,0.03986368775336533,-1.2593228037461466,0.21215721436514778,Second 20 percent income quintile
shelter_lnp_away,0.06379690493117825,0.03762216562752502,1.6957265448989292,0.09444580301735783,Second 20 percent income quintile
shelter_lnp_shelter,0.029066124094922294,0.07353088941920399,0.3952913438761033,0.6938473379065164,Second 20 percent income quintile
shelter_lnXP,-0.23961784062021493,0.060387038541106906,-3.9680343068504893,1.750217428915235e-4,Second 20 percent income quintile
shelter_trend,0.0017666592683780588,3.92851867367937e-4,4.497011253158794,2.711559049917156e-5,Second 20 percent income quintile
home_(Intercept),-0.22006210184938826,0.31689289067572063,-0.6944368533485966,0.48973996830931643,Third 20 percent income quintile
home_lnp_home,-0.028986469650063434,0.053772670464916766,-0.5390557954337651,0.591583473153676,Third 20 percent income quintile
home_lnp_away,0.07930659813878335,0.044052557230747455,1.8002722911946996,0.07618856356568271,Third 20 percent income quintile
home_lnp_shelter,-0.06109179803494077,0.03974604236307118,-1.537053613461207,0.12885348544838404,Third 20 percent income quintile
home_lnXP,0.029669913274268364,0.030626210172800462,0.9687752126973451,0.33604097141115474,Third 20 percent income quintile
home_trend,-3.971179071571038e-4,2.820389836818719e-4,-1.4080248835566507,0.16361337315652857,Third 20 percent income quintile
away_(Intercept),-0.593520270392175,0.34132360408657947,-1.7388784815527256,0.08651612946067422,Third 20 percent income quintile
away_lnp_home,0.07930659813883496,0.04405255723074473,1.8002722911959825,0.07618856356547843,Third 20 percent income quintile
away_lnp_away,-0.05720343282745529,0.06257230308323948,-0.9141973366612058,0.36379679051434577,Third 20 percent income quintile
away_lnp_shelter,0.004932996284273087,0.05108485253965912,0.09656475528520736,0.9233519766317417,Third 20 percent income quintile
away_lnXP,0.0627866990969421,0.03299771250362967,1.9027591409566862,0.061245335253658384,Third 20 percent income quintile
away_trend,-1.3611553522758235e-4,3.691001420763366e-4,-0.36877670775708127,0.7134233100913712,Third 20 percent income quintile
shelter_(Intercept),1.916161218591414,0.6530978939650419,2.9339571238825335,0.004540286924633374,Third 20 percent income quintile
shelter_lnp_home,-0.061091798034925496,0.039746042363069244,-1.5370536134608976,0.12885348544845976,Third 20 percent income quintile
shelter_lnp_away,0.00493299628421198,0.051084852539660455,0.09656475528400865,0.9233519766326901,Third 20 percent income quintile
shelter_lnp_shelter,0.037729555129409134,0.07605227303414815,0.4961002955489342,0.6214002910357364,Third 20 percent income quintile
shelter_lnXP,-0.15420866030071992,0.06314812840360816,-2.442014738981698,0.017172336939047295,Third 20 percent income quintile
shelter_trend,0.0015340977188848927,4.819852445243731e-4,3.1828727877318164,0.002187524458474588,Third 20 percent income quintile
home_(Intercept),-0.24691897038328306,0.27184624523226397,-0.9083037735993624,0.36687933211167545,Fourth 20 percent income quintile
home_lnp_home,-0.012467602513871776,0.033159669471169495,-0.375986935717549,0.708080157190442,Fourth 20 percent income quintile
home_lnp_away,0.08737115336622103,0.0335231278090798,2.606294790385174,0.011205426551388342,Fourth 20 percent income quintile
home_lnp_shelter,-0.07170248169972125,0.03168038280275997,-2.263308563729684,0.026765568242840265,Fourth 20 percent income quintile
home_lnXP,0.030326520514977348,0.025486828086194166,1.1898899467762634,0.23816778401665606,Fourth 20 percent income quintile
home_trend,-2.6027773279808155e-4,2.187785810057427e-4,-1.1896856246235985,0.23824758171328098,Fourth 20 percent income quintile
away_(Intercept),-0.7592309727793287,0.46828709030774907,-1.6212938355408795,0.10951586383345147,Fourth 20 percent income quintile
away_lnp_home,0.08737115336629224,0.03352312780907948,2.6062947903873233,0.011205426551324393,Fourth 20 percent income quintile
away_lnp_away,-0.0659517455292258,0.06434759718815755,-1.0249294210066242,0.3089763558332266,Fourth 20 percent income quintile
away_lnp_shelter,-0.036010451673914486,0.05790949007062834,-0.6218402481181399,0.5360962414447681,Fourth 20 percent income quintile
away_lnXP,0.07658914499059379,0.04390926181516228,1.7442594528917093,0.08556698852018707,Fourth 20 percent income quintile
away_trend,2.8838683598317777e-4,4.139058347590662e-4,0.696745036587965,0.48830308959274404,Fourth 20 percent income quintile
shelter_(Intercept),2.099289755326228,0.8641293283078402,2.4293698715643757,0.01773278359939434,Fourth 20 percent income quintile
shelter_lnp_home,-0.07170248169974733,0.03168038280275932,-2.2633085637305537,0.026765568242784088,Fourth 20 percent income quintile
shelter_lnp_away,-0.03601045167385578,0.05790949007062601,-0.6218402481171512,0.5360962414454142,Fourth 20 percent income quintile
shelter_lnp_shelter,0.08732521045444791,0.09042665929790769,0.9657020521653669,0.3375658668446797,Fourth 20 percent income quintile
