series_id,year,period,value,date,seasonal,category_code,item_code,demographics_code,characteristics_code,process_code,series_title,begin_year,begin_period,end_year,end_period,category_text,characteristics_text,demographics_text,item_text,process_text,display_level,selectable,sort_sequence,filtered_keep,total_expend,percent_expenditure
CXU470111LB0101M,2010,A01,1966,2010-01-01,U,EXPEND,470111,LB01,01,M,Gasoline by Income Quintiles: All Consumer Units,2010,A01,2024,A01,Expenditures,All Consumer Units,Quintiles of income before taxes,Gasoline,Means,0,TRUE,100,1,48109,0.040865534515371345
CXU470111LB0101M,2011,A01,2451,2011-01-01,U,EXPEND,470111,LB01,01,M,Gasoline by Income Quintiles: All Consumer Units,2010,A01,2024,A01,Expenditures,All Consumer Units,Quintiles of income before taxes,Gasoline,Means,0,TRUE,100,1,49705,0.04931093451363042
CXU470111LB0101M,2012,A01,2549,2012-01-01,U,EXPEND,470111,LB01,01,M,Gasoline by Income Quintiles: All Consumer Units,2010,A01,2024,A01,Expenditures,All Consumer Units,Quintiles of income before taxes,Gasoline,Means,0,TRUE,100,1,51442,0.04955095058512499
CXU470111LB0101M,2013,A01,2418,2013-01-01,U,EXPEND,470111,LB01,01,M,Gasoline by Income Quintiles: All Consumer Units,2010,A01,2024,A01,Expenditures,All Consumer Units,Quintiles of income before taxes,Gasoline,Means,0,TRUE,100,1,51100,0.04731898238747554
CXU470111LB0101M,2014,A01,2284,2014-01-01,U,EXPEND,470111,LB01,01,M,Gasoline by Income Quintiles: All Consumer Units,2010,A01,2024,A01,Expenditures,All Consumer Units,Quintiles of income before taxes,Gasoline,Means,0,TRUE,100,1,53495,0.0426955790260772
CXU470111LB0101M,2015,A01,1915,2015-01-01,U,EXPEND,470111,LB01,01,M,Gasoline by Income Quintiles: All Consumer Units,2010,A01,2024,A01,Expenditures,All Consumer Units,Quintiles of income before taxes,Gasoline,Means,0,TRUE,100,1,55978,0.034209868162492406
CXU470111LB0101M,2016,A01,1748,2016-01-01,U,EXPEND,470111,LB01,01,M,Gasoline by Income Quintiles: All Consumer Units,2010,A01,2024,A01,Expenditures,All Consumer Units,Quintiles of income before taxes,Gasoline,Means,0,TRUE,100,1,57311,0.030500253005531223
CXU470111LB0101M,2017,A01,1797,2017-01-01,U,EXPEND,470111,LB01,01,M,Gasoline by Income Quintiles: All Consumer Units,2010,A01,2024,A01,Expenditures,All Consumer Units,Quintiles of income before taxes,Gasoline,Means,0,TRUE,100,1,60060,0.02992007992007992
CXU470111LB0101M,2018,A01,1930,2018-01-01,U,EXPEND,470111,LB01,01,M,Gasoline by Income Quintiles: All Consumer Units,2010,A01,2024,A01,Expenditures,All Consumer Units,Quintiles of income before taxes,Gasoline,Means,0,TRUE,100,1,61224,0.03152358552201751
CXU470111LB0101M,2019,A01,1912,2019-01-01,U,EXPEND,470111,LB01,01,M,Gasoline by Income Quintiles: All Consumer Units,2010,A01,2024,A01,Expenditures,All Consumer Units,Quintiles of income before taxes,Gasoline,Means,0,TRUE,100,1,63036,0.03033187384986357
CXU470111LB0101M,2020,A01,1447,2020-01-01,U,EXPEND,470111,LB01,01,M,Gasoline by Income Quintiles: All Consumer Units,2010,A01,2024,A01,Expenditures,All Consumer Units,Quintiles of income before taxes,Gasoline,Means,0,TRUE,100,1,61332,0.023592904193569426
