Name:,Organization,rGDP_YOY_2025_Jul,unrate_Dec25_Jul,pce_4Q_4Q_2025_Jul,core_pce_4Q_4Q_2025_Jul
Bill Adams,Comerica Bank,1.16,4.16,2.42,2.35
Eugenio J. Alemán/Giampiero Fuentes,Raymond James Financial,0.40,4.60,3.50,3.40
Paul Ashworth,Capital Economics,1.20,4.30,3.10,3.20
Bernard Baumohl,The Economic Outlook Group,1.40,4.40,2.70,2.80
David W. Berson,Cumberland Advisors,2.50,4.20,2.20,2.40
Wayne Best/Michael Brown,Visa,0.80,4.20,2.70,3.00
Brian Bethune,Boston College Economics,0.80,4.30,2.90,3.10
Steven Blitz,TS Lombard,1.40,4.80,3.00,3.00
BofA Securities*,BofA Securities,,,,
Clement Bohr,UCLA Anderson Forecast,1.33,4.51,3.06,3.17
Kathy Bostjancic,Nationwide,0.90,4.70,2.80,3.10
Joe Brusuelas,RSM US,1.10,4.40,2.60,2.80
Jay Bryson,Wells Fargo,1.00,4.40,2.90,3.10
Mike Cosgrove,Econoclast,0.80,4.40,2.60,2.80
Kevin Cummins ,Natwest Markets,0.80,4.50,3.20,3.10
Amy Crews Cutts,AC Cutts & Associates,-1.10,5.00,4.50,4.90
Gregory Daco,EY-Parthenon,0.80,4.80,3.10,3.10
Joseph Davis,Vanguard,1.50,4.70,2.90,3.00
Rajeev Dhawan,Georgia State University,0.90,4.50,1.10,2.90
Robert Dietz,National Association of Home Builders,0.94,4.50,3.34,3.65
James Egelhof,BNP Paribas,1.20,4.40,3.10,3.40
Augustine Faucher,PNC Financial Services Group,1.30,4.40,3.20,3.30
Matthew Fienup/Dan Hamilton,California Lutheran University,0.48,4.10,2.70,3.00
Mike Fratantoni ,Mortgage Bankers Association ,0.60,4.60,3.00,3.30
Robert Fry,Robert Fry Economics,0.10,4.80,3.20,3.30
Stephen Gallagher*,Societe Generale,,,,
Michael Gapen,Morgan Stanley,0.90,4.40,2.90,3.20
Timothy Gill,American Financial Services Association,0.60,4.50,3.00,3.20
Jan Hatzius,Goldman Sachs,1.00,4.40,3.11,3.32
Selma Hepp,Cotality,1.00,4.40,3.30,3.70
Ben Herzon/Patrick Newport,S&P Global Market Intelligence,0.90,4.40,3.20,3.60
Andrew Hollenhorst/Veronica Clark*,Citigroup,,,,
Derek Holt,Scotiabank,0.80,4.50,2.30,2.70
Jack Kleinhenz*,National Retail Federation,,,,
James Knightley,ING Financial Markets,0.80,4.60,3.30,3.70
John Lonski,The Lonski Group,1.50,4.70,2.68,2.93
Daniil Manaenkov*,"Research Seminar in Quantitative Economics, University of Michigan",,,,
Patrick Manzi,National Automobile Dealers Association,1.30,4.80,2.90,3.00
Philip Marey,Rabobank,,4.40,,
Drew T. Matus,Metlife Investment Management,-0.10,4.50,2.90,3.10
Chad Moutray,National Restaurant Association,0.90,4.50,3.30,3.10
Joel Naroff,Naroff Economics,-0.10,4.70,2.70,3.10
Mark Palim,Fannie Mae,1.30,4.40,3.30,3.40
Satyam Panday,S&P Global Ratings,1.10,4.40,,3.00
Lindsey Piegza*,Stifel,,,,
Jonathan Pingle,UBS Securities,0.90,4.70,3.20,3.40
Doug Porter/Scott Anderson,BMO Capital Markets,0.90,4.50,3.40,3.40
Russell Price,Ameriprise Financial,1.40,4.40,2.60,2.70
Belinda Román,"St. Mary’s University College of Arts, Humanities and Social Sciences",2.00,4.00,2.14,2.75
Stephanie Roth,Wolfe Research,1.40,4.16,2.75,3.10
Brett Ryan/Matthew Luzzetti,Deutsche Bank Securities,1.00,4.50,3.10,3.10
Yelena Shulyatyeva,The Conference Board,1.60,4.60,2.90,3.20
Allen Sinai,Decision Economics,1.80,4.30,2.70,3.00
James F. Smith,EconForecaster,3.10,3.80,1.80,2.20
Sean M. Snaith,University of Central Florida,1.40,4.60,3.30,3.50
Sung Won Sohn,SS Economics,1.30,4.30,2.30,2.20
Stephen Stanley,Santander US Capital Markets,1.40,4.40,2.90,3.00
Susan M. Sterne,Economic Analysis Associates,0.30,4.33,2.20,2.40
Carlton M. Strong,JPMorgan,0.90,4.30,3.35,3.45
Ryan Sweet,Oxford Economics,1.16,4.37,3.15,3.37
Kevin Swift,Independent Commodity Intelligence Services,1.00,4.50,3.30,3.40
Diane Swonk,KPMG,0.60,4.50,3.90,4.10
Carl Tannenbaum,Northern Trust,1.00,4.60,3.20,3.60
David Teolis/Paul Traub,ACT Research,0.76,4.90,2.70,3.30
Christopher Thornberg,Beacon Economics,2.60,4.20,3.00,3.37
Luke Tilley,Wilmington Trust Investment Advisors,-0.20,4.60,2.00,2.20
Samuel Tombs,Pantheon Macroeconomics,1.00,4.80,3.30,3.30
U.S. Economics,Nomura Securities,0.70,4.40,3.10,3.20
Nicholas Van Ness,Credit Agricole CIB,1.10,4.40,3.00,3.10
Jordan Vickers,Eaton,1.20,4.40,2.50,2.50
Lawrence Werther,Daiwa Capital Markets America,0.60,4.60,2.80,3.00
Brian S. Wesbury/Robert Stein,First Trust,1.60,4.20,2.30,2.40
Michael Wolf,Deloitte,0.80,4.50,3.20,3.60
Lawrence Yun,National Association of Realtors,1.60,4.40,2.20,2.50
Mark Zandi,Moody's Analytics,0.92,4.24,3.35,3.07
,,,,,
,July 2025,1.03,4.46,2.90,3.11
,,,,,
,April 2025,0.78,4.69,3.15,3.52
,January 2025,2.05,4.26,2.43,2.55
,October 2024,1.92,4.33,2.05,2.13
,July 2024,1.90,4.20,2.13,2.17
,April 2024,1.90,4.17,2.12,2.13
,January 2024,1.99,4.13,2.11,2.12
,October 2023,2.12,4.17,2.09,2.18
,July 2023,2.08,4.21,2.16,2.19
,April 2023,2.20,4.25,2.17,2.19
,January 2023,2.22,4.23,2.17,2.24
,,,,,
,,,,,
* No forecasts submitted for this survey.,,,,,
Economists are listed in alphabetical order; averages are for economists polled at time of survey.,,,,,
,,,,,
"For more about the survey, including archival stories and data, visit:",,,,,
https://www.wsj.com/articles/economic-forecasting-survey-archive-11617814998,,,,,
,,,,,
"Copyright © 2025 Dow Jones & Company, Inc. All Rights Reserved.",,,,,
