"","YEAR","AGE","employment_rate"
"1",1999,16,0.297799176111325
"2",1999,17,0.444639979507903
"3",1999,18,0.511680830976757
"4",1999,19,0.613675692781824
"5",1999,20,0.680621506609051
"6",1999,21,0.699910631697445
"7",1999,22,0.735075760106025
"8",1999,23,0.751845780024031
"9",1999,24,0.772770298854626
"10",1999,25,0.782068326459497
"11",1999,26,0.813031895745824
"12",1999,27,0.807936576069266
"13",1999,28,0.817881780441659
"14",1999,29,0.810038907902975
"15",1999,30,0.809477882228684
"16",1999,31,0.825701699926382
"17",1999,32,0.832637518199287
"18",1999,33,0.828766074109677
"19",1999,34,0.813837158840872
"20",1999,35,0.824333992892733
"21",1999,36,0.812708790572088
"22",1999,37,0.817092251848023
"23",1999,38,0.821913685788522
"24",1999,39,0.822772074412016
"25",1999,40,0.824716116192452
"26",1999,41,0.820885639803062
"27",1999,42,0.823928589852196
"28",1999,43,0.830758629202528
"29",1999,44,0.822324666616369
"30",1999,45,0.838619574638067
"31",1999,46,0.826965421946003
"32",1999,47,0.829299284751978
"33",1999,48,0.817372991179799
"34",1999,49,0.805559986198669
"35",1999,50,0.81321899986368
"36",1999,51,0.800480249425958
"37",1999,52,0.789102466069344
"38",1999,53,0.745945978536847
"39",1999,54,0.728207496182567
"40",1999,55,0.715760438554328
"41",1999,56,0.708351872407539
"42",1999,57,0.702360913783672
"43",1999,58,0.660877734487616
"44",1999,59,0.604756744553284
"45",1999,60,0.556145384275497
"46",1999,61,0.532374007139052
"47",1999,62,0.43979805142894
"48",1999,63,0.382635545099052
"49",1999,64,0.334116617178693
"50",1999,65,0.258397411275202
"51",1999,66,0.260729533065941
"52",1999,67,0.222556900325756
"53",1999,68,0.181780262320352
"54",1999,69,0.164290830577449
"55",1999,70,0.139367230514596
"56",1999,71,0.155557544551318
"57",1999,72,0.147115992808319
"58",1999,73,0.0966781138479694
"59",1999,74,0.0894460996568798
"60",1999,75,0.103136644045934
"61",1999,76,0.0936318139478321
"62",1999,77,0.0781498662619536
"63",1999,78,0.062793657614916
"64",1999,79,0.0609632665588071
"65",1999,80,0.0445248652607386
"66",1999,81,0.0372014338451034
"67",1999,82,0.0270474132654742
"68",1999,83,0.0233098028864892
"69",1999,84,0.0387154133004131
"70",1999,85,0.0209015011119967
"71",1999,86,0.021232337990273
"72",1999,87,0.0226693879306873
"73",1999,88,0.0164976421046177
"74",1999,89,0.0172194660313648
"75",1999,90,0.00870928059783946
"76",2019,16,0.172200737007945
"77",2019,17,0.280394432264251
"78",2019,18,0.388092637303983
"79",2019,19,0.492858798466208
"80",2019,20,0.590625237739084
"81",2019,21,0.625051376256585
